03	07	12	16	20	30	08
06	14	19	20	23	31	07
01	07	08	15	21	24	03
12	13	18	19	27	28	03
01	09	27	32	35	38	04
12	20	27	29	33	36	01
18	25	26	31	32	35	04
02	14	28	29	33	37	03
16	17	18	31	34	36	04
10	18	24	29	34	35	02
05	09	16	24	26	29	04
04	12	14	16	19	21	08
05	07	10	17	19	28	01
09	10	21	22	24	36	01
03	08	10	11	17	33	03
01	06	08	14	24	30	03
03	10	15	20	22	31	04
13	25	30	31	33	38	08
03	04	09	24	34	38	01
18	19	22	27	30	35	01
02	07	10	16	26	33	05
04	11	13	19	31	34	07
04	16	23	27	30	33	06
04	16	25	30	34	37	02
10	14	15	31	33	35	04
09	11	12	31	33	36	05
16	17	19	23	26	37	08
01	14	28	30	31	33	02
01	03	12	16	33	35	01
10	11	18	19	22	37	01
03	06	17	20	25	30	05
05	12	17	20	23	38	07
10	15	16	17	18	26	06
01	03	13	15	17	33	01
07	11	12	15	30	31	06
02	19	23	31	32	35	07
05	20	21	23	25	36	03
14	15	25	28	32	34	08
12	17	24	30	34	35	02
04	11	25	27	35	36	08
04	07	24	27	33	35	08
03	04	14	18	28	29	04
02	04	07	08	18	35	06
01	04	13	19	21	25	08
04	06	18	26	37	38	01
01	08	15	16	28	33	06
06	17	22	26	27	38	04
14	16	20	23	28	32	07
06	12	20	25	27	37	05
07	10	21	23	24	27	01

